MOVIE NAME,YEAR,MALE SINGER COUNT,FEMALE SINGER COUNT,MALE SONG COUNT,FEMALE SONG COUNT
Vijeta_1996,1996,2,1,3,2
Main Balwan_1986,1986,2,1,5,2
Pardesi (1993 film)_1993,1993,4,2,4,7
Lamhe (1991 film)_1991,1991,3,3,3,7
Jaan Hatheli Pe_1987,1987,2,4,2,5
Adhikar (1986 film)_1986,1986,1,4,4,7
Raeeszada_1990,1990,2,1,2,1
Sahhas_1981,1981,1,2,3,3
Naache Mayuri_1986,1986,1,2,2,5
Aa Gaya Hero_2017,2017,0,1,0,1
Insaaf Apne Lahoo Se_1994,1994,2,5,2,9
Majhdhaar_1996,1996,4,1,8,3
Kurbaan (1991 film)_1991,1991,4,2,4,3
Is Raat Ki Subah Nahin_1996,1996,2,1,4,4
Milan (1995 film)_1995,1995,4,3,7,3
Zid (1976 film)_1976,1976,1,1,2,5
Satte Pe Satta_1982,1982,4,1,13,3
Baat Hai Pyaar Ki_1991,1991,0,2,0,5
Lafange_1975,1975,3,2,7,5
Ek Se Bhale Do_1985,1985,4,3,6,6
3G (film)_2013,2013,4,2,5,2
Kaanchi..._2014,2014,8,4,12,7
Dil Ka Kya Kasoor_1992,1992,2,3,7,4
Balika Badhu (1976 film)_1976,1976,3,2,3,2
Daata_1989,1989,3,5,10,12
Daisy (1988 film)_1988,1988,1,1,2,2
Do Ladkiyan_1976,1976,2,1,4,3
Tulsi Vivah (film)_1971,1971,1,2,8,16
Aakrosh (1998 film)_1998,1998,4,2,7,4
Ooparwala Jaane_1977,1977,0,1,0,2
Hum Se Hai Zamana_1983,1983,1,1,4,3
Insaaf Ki Devi_1992,1992,1,4,2,10
Raasaiyya_1995,1995,3,4,6,4
Parda Hai Parda (1992 film)_1992,1992,4,3,5,5
Zakhm_1998,1998,2,2,3,6
Bekhudi_1992,1992,1,1,5,6
Duvidha_1973,1973,0,0,0,0
Khamosh Nigahen (1986 film)_1986,1986,2,2,2,4
Mahakaal_1993,1993,3,3,3,3
Yari Dushmani_1980,1980,3,2,3,4
Gora Aur Kala_1972,1972,2,2,4,4
Akira (2016 Hindi film)_2016,2016,2,3,4,4
Mohenjo Daro (film)_2016,2016,6,3,9,5
Aakhri Adaalat_1988,1988,1,1,2,1
Sanam Re_2016,2016,7,3,12,3
Karobaar: The Business of Love_2000,2000,2,2,6,4
Surakshaa (1995 film)_1995,1995,3,1,6,2
Ishq (1997 film)_1997,1997,6,4,11,8
Ghar Sansar_1986,1986,1,4,2,4
Hostel (2011 film)_2011,2011,0,0,0,0
Bandhan Kuchchey Dhaagon Ka_1983,1983,2,3,5,6
Lover Boy (1985 film)_1985,1985,0,0,0,0
Ek Villain_2014,2014,4,2,5,2
Kal Kissne Dekha_2009,2009,3,2,7,7
Kalyug Ke Avtaar_1995,1995,2,3,2,3
Jwala_1971,1971,3,4,3,9
Waqt Ki Awaz_1988,1988,2,1,4,4
Jigar_1992,1992,4,2,5,6
Chalte Chalte (1976 film)_1976,1976,4,1,5,2
Madaari_2016,2016,2,0,2,0
Naseeb Apna Apna_1986,1986,1,3,5,5
Khiladi 420_2000,2000,4,3,6,4
Papi Gudia_1996,1996,2,2,2,5
Dil Aashna Hai_1992,1992,4,3,4,11
Tezaab_1988,1988,2,3,2,6
Amba (film)_1990,1990,2,3,3,6
Jwar Bhata (1973 film)_1973,1973,1,2,3,5
Love in Canada_1979,1979,2,2,3,3
Rukhsat_1988,1988,2,1,5,3
Mera Dil Tere Liye_1992,1992,4,1,5,5
Itihaas (film)_1997,1997,4,2,10,11
Insaan Aur Shaitan_1970,1970,1,1,1,3
The Shaukeens_2014,2014,5,1,6,1
Tajurba_1981,1981,3,4,4,4
Marte Dam Tak_1987,1987,5,3,5,3
Do Jasoos_1975,1975,4,2,5,4
Saat Sawal_1971,1971,1,1,3,10
Pyar Ke Kabil_1987,1987,1,2,2,3
The Dirty Picture_2011,2011,2,2,3,5
Double Dhamaal_2011,2011,0,2,0,3
Sarbjit (film)_2016,2016,5,2,7,2
Umrao Jaan_1981,1981,2,3,3,7
Striker (2010 film)_2010,2010,6,1,8,1
Rabba Main Kya Karoon_2013,2013,4,1,5,1
Commando-A One Man Army_2013,2013,2,1,2,1
Ragini MMS 2_2014,2014,2,1,2,2
Kahaani 2: Durga Rani Singh_2016,2016,2,2,2,2
Tohfa_1984,1984,2,2,5,5
Besharam_1978,1978,1,2,1,3
Vijay (1988 film)_1988,1988,3,3,4,6
Dil Ki Rahen_1973,1973,1,2,5,6
Atithee_1978,1978,1,3,5,5
Hafta Bandh_1991,1991,2,3,5,5
Aitbaar_1985,1985,0,2,0,4
Naya Kadam_1984,1984,2,2,7,7
Aahat (film)_1974,1974,1,1,2,2
Apna Desh_1972,1972,2,3,4,6
Deewana Tere Naam Ka_1987,1987,2,2,3,4
Paap Ko Jalaa Kar Raakh Kar Doonga_1988,1988,2,1,11,8
Soorma Bhopali_1988,1988,2,2,5,2
Mumbai Delhi Mumbai_2014,2014,1,0,1,0
Humpty Sharma Ki Dulhania_2014,2014,7,5,9,6
Godam_1983,1983,3,0,12,0
Anamika (1973 film)_1973,1973,1,2,1,4
Pyar Pyar_1993,1993,2,3,6,7
Radio (2009 film)_2009,2009,1,3,1,6
Raja Ko Rani Se Pyar Ho Gaya_2000,2000,4,1,6,2
Maya Darpan_1972,1972,0,1,0,2
Awara Zindagi_1989,1989,2,2,3,15
Soldier Thakur Daler Singh_1970,1970,1,2,4,7
Chittagong (film)_2012,2012,4,1,7,1
Zakhmo Ka Hisaab_1993,1993,2,4,5,6
Jayantabhai Ki Luv Story_2013,2013,1,0,2,0
Yaara Dildara_1991,1991,3,3,6,4
Banarasi Babu (1997 film)_1997,1997,2,2,2,2
Bulandi (2000 film)_2000,2000,5,4,8,7
Mrityudand_1997,1997,1,1,2,1
Bombay Talkie (1970 film)_1970,1970,2,2,2,3
Khudgarz_1987,1987,1,1,4,2
Khel (1992 film)_1992,1992,1,6,1,8
Sanam Tere Hain Hum_1992,1992,5,4,5,4
Saas Bhi Kabhi Bahu Thi_1970,1970,3,4,6,5
Prem Bandhan_1979,1979,2,2,3,4
Beqasoor_1980,1980,4,1,5,6
Commando (1988 film)_1988,1988,2,2,2,5
God and Gun_1995,1995,4,2,5,4
Janwar Aur Insaan_1972,1972,0,0,0,0
Rajnigandha_1974,1974,1,1,1,1
Arjun (1985 film)_1985,1985,1,2,1,3
Lootere_1993,1993,4,5,5,8
Mera Lahoo_1987,1987,1,1,1,1
Kunwara_2000,2000,2,1,8,5
Anmol_1993,1993,2,1,4,5
Roy (film)_2015,2015,3,2,7,3
Tamacha_1988,1988,2,3,2,4
Jeans (1998 film)_1998,1998,3,4,3,4
Housefull 2_2012,2012,3,4,6,9
Agar... If_1977,1977,2,1,2,3
Te3n_2016,2016,3,1,3,1
Gaja Gamini (2000 film)_2000,2000,4,1,5,4
Rangrezz_2013,2013,1,0,1,0
Ajay (1996 film)_1996,1996,3,2,10,7
Fateh (1991 film)_1991,1991,3,4,4,10
Bazaar Band Karo_1974,1974,3,1,4,5
Aan Aur Shaan_1984,1984,2,2,3,3
Heartless (2014 film)_2014,2014,6,1,10,1
Ek Tha Raja_1996,1996,3,3,6,4
Hare Rama Hare Krishna (1971 film)_1971,1971,2,3,8,7
Sargam (1979 film)_1979,1979,1,1,7,3
Preet Ki Dori_1971,1971,1,2,2,8
Hum Intezaar Karenge_1989,1989,3,3,4,3
Chor Pe Mor_1990,1990,1,2,1,7
Do Thug_1975,1975,1,2,1,4
Dushman (1998 film)_1998,1998,4,1,5,4
Bandook (2013 film)_2013,2013,3,1,3,1
Ahankaar_1995,1995,2,4,2,5
Jeevan Ek Sanghursh_1990,1990,0,3,0,10
Zakhmee Insaan_1982,1982,2,5,4,10
Amaanat_1977,1977,1,1,2,4
Zanjeer (2013 film)_2013,2013,1,4,1,5
Aazaan_2011,2011,3,0,3,0
Aandhi_1975,1975,3,2,5,4
Maharaja (1998 film)_1998,1998,3,1,6,5
Bichhoo (2000 film)_2000,2000,6,5,7,5
Sant Gyaneshwar_1982,1982,3,1,3,5
Baat Ban Jaye_1986,1986,1,3,2,3
Amar Shakti_1978,1978,2,3,4,4
Zinda Dil_1975,1975,4,1,7,3
Sunny (1984 film)_1984,1984,2,2,4,3
Kamagni_1987,1987,1,2,2,3
Qahar_1997,1997,1,2,4,4
Amanaat_1994,1994,3,1,7,4
Zanjeer (1973 film)_1973,1973,2,2,2,4
Ram Jaane_1995,1995,3,2,8,3
Coolie No. 1 (Hindi film)_1995,1995,3,3,7,5
Jo Hum Chahein_2011,2011,4,4,5,4
Puraskar_1970,1970,2,1,3,4
Tahalka_1992,1992,5,2,7,5
Duniya Ka Mela_1974,1974,1,2,2,9
Jeet (1996 film)_1996,1996,3,3,5,7
Rocky Handsome_2016,2016,3,2,5,4
Dharkan_1972,1972,3,2,7,9
Abhinay Chakra_2014,2014,0,1,0,1
Satyagraha  Democracy Under Fire_2013,2013,1,0,2,0
Shootout at Wadala_2013,2013,2,0,9,0
Baadal_1985,1985,3,1,11,1
Paanch Dushman_1973,1973,2,2,8,4
Andaz (1971 film)_1971,1971,3,3,7,6
Bahaar Aane Tak_1990,1990,2,2,3,8
Munna Michael_2017,2017,4,3,4,4
Meri Biwi Ki Shaadi_1979,1979,2,3,4,5
Kartavya (1979 film)_1979,1979,1,3,5,9
Ghar (film)_1978,1978,2,2,3,4
Yeh Mera India_2009,2009,1,1,1,1
Ek Mutthi Aasmaan_1973,1973,2,2,5,6
International Crook_1974,1974,2,2,4,2
Anaam_1992,1992,3,3,7,3
Mera Haque_1986,1986,2,2,2,3
Jeeva (1986 film)_1986,1986,1,2,1,6
Jai Santoshi Maa_1975,1975,3,1,4,3
Nagin (1976 film)_1976,1976,3,3,4,6
Jeene Ki Arzoo_1981,1981,2,2,2,3
Toofan (1989 film)_1989,1989,3,3,4,3
Meri Jung_1985,1985,4,3,4,5
Romance (1983 film)_1983,1983,2,3,2,8
Tirangaa_1992,1992,2,2,2,9
Jail (2009 film)_2009,2009,2,1,5,2
Life Express (2010 film)_2010,2010,2,1,2,1
Aa Ab Laut Chalen_1999,1999,5,2,9,9
Shriman Shrimati_1982,1982,2,1,5,2
Bhala Manus_1976,1976,0,0,0,0
Ramaiya Vasta Vaiya_2013,2013,2,3,4,6
Ek Hi Maqsad_1988,1988,1,1,3,3
C.I.D. (1990 film)_1990,1990,3,2,3,4
Mann (1999 film)_1999,1999,2,3,9,6
Do Matwale_1991,1991,2,3,2,4
Suhaagan_1986,1986,1,3,3,5
Hulchul (1995 film)_1995,1995,2,2,2,4
Zalzala (1988 film)_1988,1988,4,3,4,5
Maahir_1996,1996,4,3,11,5
Zulmi_1999,1999,2,2,2,8
Aaj Ka Ye Ghar_1976,1976,1,1,2,2
Aaj (1987 film)_1987,1987,1,1,3,2
Dulhe Raja (1998 film)_1998,1998,3,2,6,4
Kahani Kismat Ki_1973,1973,2,2,6,3
Bhemaa_1984,1984,0,1,0,4
Angaaray (1986 film)_1986,1986,2,3,2,4
Shaitan (film)_2011,2011,3,3,4,3
Mere Bhaiya_1972,1972,0,2,0,2
Aan Milo Sajna_1970,1970,2,2,4,4
Laawaris_1981,1981,3,2,6,2
Akele Hum Akele Tum_1995,1995,6,1,10,3
Himmatwala (2013 film)_2013,2013,3,4,3,6
Crazy Cukkad Family_2015,2015,4,0,5,0
Dil Hai Ke Manta Nahin_1991,1991,2,1,5,13
King Uncle (1993 film)_1993,1993,3,4,5,7
Rishta To Ho Aisa_1992,1992,2,3,2,4
Jalwa_1987,1987,0,2,0,3
Taqdeer Ka Badshah_1982,1982,2,1,6,2
Aastha: In the Prison of Spring_1997,1997,1,2,1,3
Pyar Ke Naam Qurbaan_1990,1990,1,1,2,7
Love Sex aur Dhokha_2010,2010,1,2,6,2
Love Story (1981 film)_1981,1981,0,3,0,10
Haqeeqat (1985 film)_1985,1985,2,6,2,6
Paap Ki Duniya_1988,1988,3,3,4,4
Auzaar_1997,1997,7,1,10,3
Badnam Farishte_1971,1971,2,1,6,5
Ghulami_1985,1985,1,1,1,3
Paap Ki Aandhi_1991,1991,1,3,1,5
Badhti Ka Naam Dadhi_1974,1974,4,2,9,2
Yaraana (1981 film)_1981,1981,2,0,6,0
Maa Ka Aanchal_1970,1970,2,1,4,6
Bidaai (1974 film)_1974,1974,1,3,2,5
Patton Ki Bazi_1986,1986,2,1,4,10
Aakhri Mujra_1981,1981,0,0,0,0
Dharm Adhikari_1986,1986,2,3,3,5
Hum Dil De Chuke Sanam_1999,1999,8,3,12,10
Dilwale Kabhi Na Hare_1992,1992,2,2,7,5
Bhula Na Dena_1981,1981,2,3,3,7
Jeeo Shaan Se_1997,1997,2,1,6,1
Vakil Babu_1982,1982,1,2,2,3
Hanste Khelte_1994,1994,3,1,4,1
Koi Jeeta Koi Haara_1976,1976,2,2,6,6
Mohabbat (1985 film)_1985,1985,1,3,4,3
Baharon Phool Barsao_1972,1972,0,1,0,4
Dadagiri (film)_1987,1987,1,1,1,6
Bullett Raja_2013,2013,3,3,5,3
Gangster (1994 movie)_1994,1994,2,6,3,9
Kaho Naa... Pyaar Hai_2000,2000,3,3,5,5
Mar Mitenge (1988 film)_1988,1988,3,3,4,5
Pyari Behna_1985,1985,2,2,10,4
Lal Patthar_1971,1971,3,1,3,3
Bandhe Haath_1973,1973,4,2,10,20
Ganga Tere Desh Mein_1988,1988,0,2,0,4
Ishq Junoon_2016,2016,3,0,5,0
Dhaal_1997,1997,3,1,5,1
Dil Ka Doctor_1995,1995,3,3,6,3
Aatank Hi Aatank_1995,1995,3,3,4,6
Noorie_1979,1979,2,5,3,9
Shankar Dada_1976,1976,2,1,5,5
Zakhmi Aurat_1988,1988,0,3,0,5
Jeet Hamaari_1983,1983,3,2,5,3
Amit Sahni Ki List_2014,2014,3,3,3,3
Dil Tujhko Diya_1987,1987,1,2,2,4
Mast (film)_1999,1999,2,3,6,7
Tere Bina Kya Jeena_1989,1989,0,1,0,3
Do Knot Disturb_2009,2009,4,3,7,8
Dak Bangla (film)_1987,1987,1,1,1,2
Anokha Premyudh_1994,1994,2,4,5,5
Prem Aggan_1998,1998,4,3,6,5
Mrityudata_1997,1997,3,2,5,2
Keemat  They Are Back_1998,1998,5,3,7,5
Freaky Ali_2016,2016,0,1,0,1
Dilwale (1994 film)_1994,1994,2,1,7,4
Ghar Bazar_1998,1998,0,4,0,7
We Are Family (2010 film)_2010,2010,5,4,8,7
David (2013 Hindi film)_2013,2013,5,4,8,5
Gang of Ghosts_2014,2014,7,4,11,4
Albela (1971 film)_1971,1971,1,2,7,8
Dastak_1970,1970,0,1,0,1
Kalabaaz_1977,1977,1,2,3,2
Chor Police_1983,1983,3,2,3,5
Laawaris (1999 film)_1999,1999,4,2,5,3
Nautanki Saala_2013,2013,4,2,8,4
Yateem_1988,1988,1,1,3,3
Lootmaar_1980,1980,1,2,4,5
Tum Bin 2_2016,2016,7,5,12,6
Mulzim_1988,1988,2,1,2,3
Mumbai Mast Kallander_2011,2011,4,3,6,3
Knock Out (2010 film)_2010,2010,4,1,4,2
Woh Jo Hasina_1983,1983,0,2,0,5
Chala Murari Hero Banne_1977,1977,1,3,4,11
Jal (film)_2014,2014,3,1,5,1
Bhagwan Parshuram_1970,1970,2,3,2,4
Bahurani (1989 film)_1989,1989,1,3,2,10
Shakti (1982 film)_1982,1982,2,1,3,2
Muqabla_1993,1993,0,0,0,0
Mera Karam Mera Dharam_1987,1987,2,3,2,3
Phool (1993 film)_1993,1993,2,2,6,4
Kurukshetra (2000 film)_2000,2000,4,2,7,6
Shaitani Ilaaka_1990,1990,3,1,5,1
Chambal Ki Kasam_1980,1980,3,1,3,2
Jaan-E-Bahaar_1979,1979,4,4,6,6
Chalta Purza_1977,1977,1,3,3,4
Pratibandh_1990,1990,0,2,0,8
Sharafat (1970 film)_1970,1970,0,2,0,6
Waarrior Savitri_2016,2016,3,2,3,2
Earth (1998 film)_1998,1998,3,3,6,3
Bhagwaan Dada_1986,1986,1,2,2,4
Vinashak - Destroyer_1998,1998,2,4,2,5
Thalapathi_1991,1991,3,2,6,5
Dhanwan (1981 film)_1981,1981,3,1,8,6
Amir Garib_1974,1974,2,1,6,3
Chaar Din Ki Chandni_2012,2012,3,3,4,4
Kabhi Dhoop Kabhi Chhaon_1971,1971,2,3,4,8
Karamdaata_1986,1986,1,3,2,5
Aisa Pyaar Kahan_1986,1986,1,2,1,4
Shiv Charan_1982,1982,3,2,5,6
Goonj (1974 film)_1974,1974,2,2,2,4
Prateeksha_1993,1993,2,3,3,5
Goliyon Ki Rasleela Ram-Leela_2013,2013,4,2,7,4
Daanveer_1996,1996,4,3,5,4
Anokha Bandhan_1982,1982,0,4,0,6
Help (film)_2010,2010,4,2,7,4
Agar Tum Na Hote_1983,1983,1,3,4,8
Apne Dushman_1975,1975,1,1,4,4
Alone (2015 Hindi film)_2015,2015,1,2,2,2
Shor in the City_2011,2011,3,2,4,3
Doosri Dulhan_1983,1983,2,1,4,5
Ab Insaf Hoga_1995,1995,3,4,3,5
Salaakhen (1975 film)_1975,1975,1,2,1,4
Boss (2013 Hindi film)_2013,2013,5,2,10,2
Love Love Love (1989 film)_1989,1989,0,3,0,4
Pukar (1983 film)_1983,1983,4,2,8,3
Ginny Aur Johnny_1976,1976,2,1,7,1
Professor Ki Padosan_1993,1993,1,2,2,6
Sultan (2016 film)_2016,2016,7,3,12,3
Delhi Belly (film)_2011,2011,2,0,6,0
Chhoti Bahoo_1994,1994,1,3,3,5
Ladki Pasand Hai_1971,1971,4,4,9,12
Kathputli (1971 film)_1971,1971,3,2,7,5
Amar Prem_1972,1972,3,1,5,2
Faraar_1975,1975,2,1,4,3
Entertainment (2014 film)_2014,2014,1,0,4,0
Mirch_2010,2010,2,3,2,3
Kunwara Badan_1973,1973,1,2,2,6
Manjunath (Film)_2014,2014,1,0,1,0
Aaj Ki Taaza Khabar_1973,1973,1,1,2,1
Hindustan Ki Kasam (1999 film)_1999,1999,4,6,8,9
Ek Thi Reeta_1971,1971,2,2,3,6
Do Raha_1971,1971,1,0,1,0
Love 86_1986,1986,2,3,3,5
Do Dooni Chaar_2010,2010,3,1,6,2
Aag Aur Chingari_1994,1994,1,3,1,4
Taqdeer (1983 film)_1983,1983,0,2,0,5
Ek Duuje Ke Liye_1981,1981,1,2,3,4
Kasum Khoon Ki_1977,1977,3,1,6,2
Waqt Ki Pukar_1984,1984,3,2,5,3
Anhonee (1973 film)_1973,1973,1,3,2,8
Mehboob Ki Mehndi_1971,1971,2,2,5,5
Awaargi_1990,1990,1,3,1,4
One Night Stand (2016 film)_2016,2016,3,2,3,2
Chal Chala Chal_2009,2009,3,2,5,4
Bade Dilwala_1999,1999,3,3,6,6
Guddi (1971 film)_1971,1971,0,1,0,3
Anuraag (1972 film)_1972,1972,2,1,2,5
Jaisi Karni Waisi Bharni_1989,1989,2,2,2,3
Bhagwan Shri Krishna_1985,1985,1,1,1,4
Baby (2015 film)_2015,2015,2,0,2,0
Parwana (1971 film)_1971,1971,2,1,3,1
Aur Kaun?_1979,1979,1,1,1,1
Life Ki Toh Lag Gayi (Film)_2012,2012,2,0,6,0
Rakht Charitra_2010,2010,7,0,9,0
Yeh Raat Phir Na Aayegi_1992,1992,2,1,3,7
Payal Ki Jhankaar_1980,1980,4,4,8,5
Ragini MMS_2011,2011,1,2,2,2
Betaaj Badshah_1994,1994,4,2,8,4
Akayla_1991,1991,1,1,3,3
Roti Kapda Aur Makaan_1974,1974,2,1,3,5
Black Mail (1973 film)_1973,1973,1,1,12,10
Yaaron Ka Yaar_1977,1977,3,1,3,3
Raat Gayi Baat Gayi?_2009,2009,0,1,0,4
Main Awara Hoon_1983,1983,1,2,4,3
Ram Bharose_1977,1977,2,1,8,4
Swarag Se Sunder_1986,1986,1,2,4,6
Gambler (1971 film)_1971,1971,2,1,5,2
Insaaf (1987 film)_1987,1987,0,1,0,3
Samraat (film)_1982,1982,4,2,6,6
Zokkomon_2011,2011,2,0,5,0
W (2014 film)_2014,2014,1,1,1,1
Fox (film)_2009,2009,2,2,4,2
Machine (2017 film)_2017,2017,4,3,7,5
Sone Ka Dil Lohe Ke Haath_1978,1978,1,1,1,2
Qaidi (1984 film)_1984,1984,1,2,4,2
Woh Din Yaad Karo_1971,1971,3,2,9,5
Hunterrr_2015,2015,5,2,5,2
Dil To Pagal Hai_1997,1997,2,2,9,9
Aulad Ke Dushman_1993,1993,3,3,10,8
Dahek_1999,1999,3,4,7,11
Kanwarlal_1988,1988,0,3,0,4
Ayee Milan Ki Raat_1991,1991,2,1,3,11
Qatil Aur Ashiq_1986,1986,2,3,5,8
Neerja_2016,2016,2,3,2,3
Preet Na Jane Reet_1984,1984,1,2,5,4
Rama O Rama_1988,1988,0,2,0,3
Bombay Talkies (film)_2013,2013,11,8,13,8
Bachpan_1970,1970,2,2,3,4
Chaalis Chauraasi_2012,2012,6,3,6,3
Shaadi Ke Baad_1972,1972,3,1,6,5
Laal Rang_2016,2016,3,0,4,0
Phool Aur Aag_1999,1999,1,2,1,4
Baahubali 2: The Conclusion_2017,2017,3,1,3,1
Shortkut_2009,2009,3,2,7,2
Jail Yatra_1981,1981,2,2,3,3
Shirdi Ke Sai Baba_1977,1977,1,3,2,4
Manthan (1976 film)_1976,1976,0,1,0,1
Criminal (1995 film)_1995,1995,2,2,2,2
Abhi To Jee Lein_1977,1977,1,1,11,3
Chor Aur Chaand_1993,1993,4,1,8,10
Baali Umar Ko Salaam_1994,1994,2,2,8,7
Samaj Ko Badal Dalo_1970,1970,1,2,2,5
Dil-E-Nadaan_1982,1982,1,2,4,3
Vishwanath (1978 film)_1978,1978,2,2,3,4
Phhir_2011,2011,1,2,1,2
Banphool_1971,1971,2,1,4,4
Yaadgaar_1984,1984,1,3,3,3
Bhumika (1977 film)_1977,1977,0,2,0,4
Grahan_1972,1972,3,3,4,6
Jolly LLB 2_2017,2017,4,2,5,2
Zindagi Aur Toofan_1975,1975,0,2,0,5
Wajood_1998,1998,3,3,4,6
Aaina (1977 film)_1977,1977,1,2,1,4
Tere Mere Sapne (1971 film)_1971,1971,2,2,3,7
Naughty @ 40_2011,2011,1,2,1,2
Ek Nazar_1972,1972,2,0,3,0
Saheb Bahadur_1977,1977,3,3,8,5
Baaghi: A Rebel for Love_1990,1990,1,3,4,8
Dhanak_2016,2016,3,1,3,1
Sawaal (film)_1982,1982,2,5,4,8
Khalifa (film)_1976,1976,2,1,6,2
Loafer (1973 film)_1973,1973,1,2,1,4
Miss 420_1998,1998,3,1,6,1
Ferrari Ki Sawaari_2012,2012,1,0,1,0
Sarkari Mehmaan_1979,1979,0,1,0,5
Mom (film)_2017,2017,2,5,2,6
Ghungroo Ki Awaaz_1981,1981,0,0,0,0
Sagina (film)_1974,1974,1,1,5,4
Naram Garam (1981 film)_1981,1981,3,2,3,4
Tyagi (film)_1992,1992,2,3,4,4
Gali Gali Chor Hai_2012,2012,2,1,3,2
Allah Rakha (film)_1986,1986,0,2,0,4
Jaggu_1975,1975,0,2,0,10
Shart (1986 film)_1986,1986,3,2,3,3
Samrat & Co._2014,2014,2,1,2,1
Yeshwant_1997,1997,4,1,7,1
Runningshaadi.com_2017,2017,4,2,5,2
Ajab Gazabb Love_2012,2012,3,0,4,0
Aalaap (film)_2012,2012,5,1,10,1
One by Two (2014 film)_2014,2014,4,1,5,1
Hawalaat_1987,1987,2,2,3,4
Awwal Number_1990,1990,2,2,5,4
Udhar Ka Sindur_1976,1976,2,3,2,6
Shapath (1997 film)_1997,1997,4,1,5,1
Tirchhi Topiwale_1998,1998,4,3,6,3
Jeeo Aur Jeene Do_1982,1982,2,3,3,5
Jeena isi Ka Naam Hai (film)_2017,2017,4,2,4,2
Chashme Buddoor (1981 film)_1981,1981,5,1,5,5
Dushman Devta_1991,1991,1,4,3,7
Jeete Hain Shaan Se_1988,1988,2,3,8,9
Iraada_1991,1991,1,1,2,3
Dushman Zamana_1992,1992,1,2,4,5
Prithvi (1997 film)_1997,1997,4,4,7,8
My Love (1970 film)_1970,1970,0,0,0,0
The Great Gambler_1979,1979,4,1,4,5
Dhan Daulat_1980,1980,0,0,0,0
Raja Jani_1972,1972,1,1,1,5
Laqshya_1994,1994,3,3,9,7
Majaal_1987,1987,1,1,4,5
Namak Halaal (1982 film)_1982,1982,2,1,4,3
Anari No.1_1999,1999,5,3,8,6
Chhota Chetan_1998,1998,1,2,4,2
Force (2011 film)_2011,2011,4,5,4,5
Garam Masala (1972 film)_1972,1972,1,1,2,5
Bhayaanak_1979,1979,1,2,2,3
Dial 100 (1982 film)_1982,1982,4,2,13,6
Shivaay_2016,2016,8,2,8,3
Buddha Mil Gaya (film)_1971,1971,2,2,6,5
Chor Sipahee_1977,1977,3,1,3,1
Teen Patti (film)_2010,2010,0,2,0,4
Star (1982 film)_1982,1982,0,1,0,4
Zindagi Ek Juaa_1992,1992,1,1,4,3
Suraj (1997 film)_1997,1997,3,2,5,3
Khoobsurat (1999 film)_1999,1999,5,4,7,6
Katilon Ke Kaatil_1981,1981,3,2,5,3
Betaab_1983,1983,0,1,0,3
Gunahon Ka Faisla_1988,1988,1,3,1,5
Meri Shadi Karao_2013,2013,2,0,10,0
Shikshaa_1979,1979,3,1,7,1
Aasha (1980 film)_1980,1980,1,1,5,3
Imaandaar_1987,1987,2,1,9,3
Fakira (film)_1976,1976,4,3,11,11
Do Dil Diwane_1981,1981,1,2,2,5
Ek Tha Tiger_2012,2012,4,2,4,4
Zor Lagaa Ke...Haiya!_2009,2009,3,1,6,2
Jung (1996 film)_1996,1996,2,1,2,4
Baazigar (1993 film)_1993,1993,2,3,4,6
Utsav_1984,1984,1,4,2,6
Geeta Mera Naam_1974,1974,1,2,2,4
Do Dilon Ki Dastaan (1985 film)_1985,1985,1,3,2,4
Shera (film)_1999,1999,3,0,7,0
U R My Jaan_2011,2011,3,3,3,4
Aage Ki Soch_1988,1988,1,1,4,4
Rajjo_2013,2013,2,1,3,4
Pazhassi Raja (2013 film)_2013,2013,6,2,9,2
Jhooth Bole Kauwa Kaate_1998,1998,4,1,8,4
Mrigayaa_1976,1976,1,1,4,2
Hira Aur Patthar_1977,1977,1,2,3,3
Kaalia_1981,1981,2,1,4,4
Ghatak: Lethal_1996,1996,2,4,3,5
Ganga Ki Saugandh_1978,1978,2,4,4,6
Hero Hindustani_1998,1998,1,0,3,0
Jeevan Sangram_1974,1974,1,3,1,7
Insaaf Ki Awaaz_1986,1986,2,2,3,3
Tera Kya Hoga Johnny_2010,2010,2,1,3,2
Teesra Kaun?_1994,1994,3,2,4,2
Maine Jeena Seekh Liya_1982,1982,2,4,6,15
Aap Ke Deewane_1980,1980,5,3,17,4
Sanam Teri Kasam (2009 film)_2009,2009,2,4,7,5
Afsana Do Dilon Ka_1982,1982,1,2,2,2
Rajput (1982 film)_1982,1982,3,2,11,3
Sajjo Rani_1976,1976,0,3,0,8
Rakta Bandhan_1984,1984,1,3,2,7
Agneepath (2012 film)_2012,2012,4,2,4,2
Dulaara_1994,1994,3,2,7,7
Goliyon Ki Raasleela Ram-Leela_2013,2013,4,2,7,4
Kalicharan_1976,1976,2,3,2,4
Door Nahin Manzil_1973,1973,2,2,4,5
Palkon Ki Chhaon Mein_1977,1977,1,2,3,3
Pyaar To Hona Hi Tha_1998,1998,5,3,6,5
Junooniyat_2016,2016,3,1,3,1
Haseenon Ka Devata_1971,1971,1,0,1,0
Fukrey_2013,2013,4,1,7,2
Happy Husbands_2011,2011,3,0,5,0
Anokha Daan_1972,1972,1,1,1,5
The Burning Train_1980,1980,2,4,4,8
Dil Toh Deewana Hai_2016,2016,2,2,4,2
Himalay Putra_1997,1997,3,2,5,5
Haque (film)_1991,1991,2,4,2,4
