MOVIE NAME,CAST,MENTIONS,TOTAL CENTRALITY,COUNT,AVERAGE CENTRALITY
Toh Baat Pakki!,woman,1,106.5,11,9.681818182
Toh Baat Pakki!,nisha,6,196.1666667,36,5.449074074
Karthik Calling Karthik,shonali,11,691,90,7.677777778
Atithi Tum Kab Jaoge?,woman,0,0,0,0
Atithi Tum Kab Jaoge?,mun,0,0,0,0
Atithi Tum Kab Jaoge?,girl,0,0,0,0
Atithi Tum Kab Jaoge?,mother,0,0,0,0
Road Movie,woman,1,6.333333333,4,1.583333333
Arvind Desai Ki Ajeeb Dastaan,alice,3,241.6666667,26,9.294871795
Rokkk,mother,1,37.66666667,9,4.185185185
Rokkk,ranvir,8,249,76,3.276315789
Rokkk,pooja,7,1929.833333,67,28.80348259
Rokkk,ahana,15,160,97,1.649484536
Rokkk,anushka,15,171,111,1.540540541
Thanks Maa,mother,4,210,41,5.12195122
Azaad,seema,1,447.8333333,21,21.32539683
Na Ghar Ke Na Ghaat Ke,devki,20,1140.566667,120,9.504722222
Badalte Rishtey,mother,4,23,14,1.642857143
Badalte Rishtey,savitri,48,665.3333333,359,1.853296193
Right Yaaa Wrong,radhika,1,73,15,4.866666667
