MOVIE NAME,CAST,MENTIONS,TOTAL CENTRALITY,COUNT,AVERAGE CENTRALITY
Zakhmi Dil,jaidev,0,257.6666667,125,2.061333333
Chor Machaye Shor,father,3,326,57,5.719298246
Chowkidar,shambhu,10,34,92,0.369565217
Chowkidar,dr.,0,0,0,0
Chowkidar,father,4,53.66666667,25,2.146666667
Chowkidar,gopal,13,193,104,1.855769231
Chowkidar,shyam,8,572,91,6.285714286
Dilwale Dulhania Le Jayenge,father,10,847.0333333,132,6.416919192
Dilwale Dulhania Le Jayenge,ajit,4,48.5,42,1.154761905
Dilwale Dulhania Le Jayenge,raj,41,3474.266667,333,10.43323323
Dilwale Dulhania Le Jayenge,man,1,10,5,2
Dilwale Dulhania Le Jayenge,baldev,20,136,157,0.866242038
Dilwale Dulhania Le Jayenge,boy,2,108,24,4.5
Karan Arjun,thakur,6,550.3333333,99,5.558922559
Karan Arjun,saxena,7,416.6666667,65,6.41025641
Karan Arjun,father,4,220.5,34,6.485294118
Karan Arjun,ajay,13,158.6666667,126,1.259259259
Karan Arjun,suraj,7,31,41,0.756097561
Karan Arjun,karan,18,766.8666667,205,3.740813008
Karan Arjun,durjan,20,678.6666667,179,3.791433892
Karan Arjun,munim,1,264,20,13.2
Karan Arjun,arjun,28,371.5,208,1.786057692
Karan Arjun,vijay,30,351,229,1.532751092
Barsaat,badal,15,186,136,1.367647059
Barsaat,suresh,6,0,85,0
Barsaat,negi,8,113,65,1.738461538
Barsaat,man,1,174.6666667,23,7.594202899
Rangeela,actor,1,107,21,5.095238095
Rangeela,raj,9,406,90,4.511111111
Rangeela,munna,13,1006.5,127,7.92519685
Coolie No. 1,gharjode,2,95.33333333,56,1.702380952
Coolie No. 1,hoshiyar,11,23,75,0.306666667
Sabse Bada Khiladi,amar,10,198,96,2.0625
Sabse Bada Khiladi,father,3,251.5,32,7.859375
Sabse Bada Khiladi,amit,26,1187.5,221,5.373303167
Sabse Bada Khiladi,inspector,4,126,31,4.064516129
Sabse Bada Khiladi,brother,3,77,49,1.571428571
Sabse Bada Khiladi,vijay,22,651,199,3.271356784
Sabse Bada Khiladi,lallu,16,468.6666667,215,2.179844961
Dost,maanav,7,0,116,0
Dost,gopichand,7,181.1666667,83,2.182730924
